2026-06-05 13:01:32,937 | INFO     | __main__ | [DB] Existing database deleted.
2026-06-05 13:01:32,954 | INFO     | CLI.db.database | [DB] Schema initialised at /Users/sathvik/Desktop/Internship/project2/vitals_pipeline.db
2026-06-05 13:01:32,957 | INFO     | __main__ | ============================================================
2026-06-05 13:01:32,957 | INFO     | __main__ |  APNEA MODULE
2026-06-05 13:01:32,957 | INFO     | __main__ | ============================================================
2026-06-05 13:01:57,743 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10014354/81739927/81739927.hea: 200 0-542/542
2026-06-05 13:01:58,002 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10014354/81739927/81739927_0000.hea: 200 0-249/249
2026-06-05 13:01:58,272 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10014354/81739927/81739927_0001.hea: 200 0-391/391
2026-06-05 13:01:58,538 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10014354/81739927/81739927_0002.hea: 200 0-465/465
2026-06-05 13:01:58,809 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10014354/81739927/81739927_0003.hea: 200 0-264/264
2026-06-05 13:01:59,261 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10014354/81739927/81739927_0004.hea: 200 0-164/164
2026-06-05 13:01:59,532 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10014354/81739927/81739927_0005.hea: 200 0-266/266
2026-06-05 13:01:59,811 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10014354/81739927/81739927_0006.hea: 200 0-462/462
2026-06-05 13:02:00,105 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10014354/81739927/81739927_0007.hea: 200 0-364/364
2026-06-05 13:02:00,489 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10014354/81739927/81739927_0008.hea: 200 0-471/471
2026-06-05 13:02:01,101 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10014354/81739927/81739927_0001.hea: 200 0-391/391
2026-06-05 13:02:01,440 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10014354/81739927/81739927_0001e.dat: 206 0-2988/2988
2026-06-05 13:02:02,024 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10014354/81739927/81739927_0001r.dat: 206 0-284/284
2026-06-05 13:02:02,330 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10014354/81739927/81739927_0002.hea: 200 0-465/465
2026-06-05 13:02:02,595 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10014354/81739927/81739927_0002e.dat: 206 0-154/154
2026-06-05 13:02:02,947 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10014354/81739927/81739927_0002p.dat: 206 0-2350/2350
2026-06-05 13:02:03,252 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10014354/81739927/81739927_0002r.dat: 206 0-99/99
2026-06-05 13:02:03,856 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10014354/81739927/81739927_0003.hea: 200 0-264/264
2026-06-05 13:02:04,174 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10014354/81739927/81739927_0003e.dat: 206 0-1780/1780
2026-06-05 13:02:04,453 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10014354/81739927/81739927_0003p.dat: 206 0-638/638
2026-06-05 13:02:04,732 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10014354/81739927/81739927_0003r.dat: 206 0-99/99
2026-06-05 13:02:05,016 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10014354/81739927/81739927_0004.hea: 200 0-164/164
2026-06-05 13:02:05,310 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10014354/81739927/81739927_0004p.dat: 206 0-188/188
2026-06-05 13:02:05,715 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10014354/81739927/81739927_0004r.dat: 206 0-98/98
2026-06-05 13:02:06,018 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10014354/81739927/81739927_0005.hea: 200 0-266/266
2026-06-05 13:02:06,297 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10014354/81739927/81739927_0005e.dat: 206 0-1222/1222
2026-06-05 13:02:06,567 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10014354/81739927/81739927_0005p.dat: 206 0-2071/2071
2026-06-05 13:02:06,838 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10014354/81739927/81739927_0005r.dat: 206 0-1290/1290
2026-06-05 13:02:07,245 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10014354/81739927/81739927_0006.hea: 200 0-462/462
2026-06-05 13:02:07,553 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10014354/81739927/81739927_0006e.dat: 206 0-1273/1273
2026-06-05 13:02:07,862 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10014354/81739927/81739927_0006p.dat: 206 0-320/320
2026-06-05 13:02:08,167 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10014354/81739927/81739927_0006r.dat: 206 0-285/285
2026-06-05 13:02:08,475 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10014354/81739927/81739927_0007.hea: 200 0-364/364
2026-06-05 13:02:08,764 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10014354/81739927/81739927_0007e.dat: 206 0-479/479
2026-06-05 13:02:09,046 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10014354/81739927/81739927_0007p.dat: 206 0-173/173
2026-06-05 13:02:09,396 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10014354/81739927/81739927_0007r.dat: 206 0-150/150
2026-06-05 13:02:09,696 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10014354/81739927/81739927_0008.hea: 200 0-471/471
